id,name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
91,velociraptor,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html
92,pinacosaurus,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
93,eotyrannus,carnivorous,Early Cretaceous 127-121 million years ago,United Kingdom,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Hutt Naish Martill Barker and Newberry (2001),lengi,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html
94,massospondylus,omnivorous,Early Jurassic 208-204 million years ago,Zimbabwe,sauropod,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Owen (1854),carinatus,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
95,amargasaurus,herbivorous,Early Cretaceous 132-127 million years ago,Argentina,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
96,aragosaurus,herbivorous,Early Cretaceous 132-121 million years ago,Spain,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Sanz Buscalioni Casanovas and Sanafé (1987),ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html
97,oryctodromeus,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,2.1m,Dinosauria Ornithischia,Varricchio Marin and Katsura (2007),cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
98,tarbosaurus,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html
99,arrhinoceratops,herbivorous,Late Cretaceous 72-67 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html
100,fukuiraptor,carnivorous,Early Cretaceous 121-99 million years ago,Japan,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Azuma and Currie (2000),kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html
101,opisthocoelicaudia,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Borsuk-Bialynicka  (1977),skarzynskii ,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
102,kentrosaurus,herbivorous,Late Jurassic 155-150 million years ago,Tanzania,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
103,coloradisaurus,omnivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte (1978),brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
104,compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,0.65m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html
105,pentaceratops,herbivorous,Late Cretaceous 76-74 million years ago,USA,ceratopsian,6.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Osborn (1923),sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
106,troodon,carnivorous,Late Cretaceous 74-65 million years ago,USA,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html
107,archaeoceratops,herbivorous,Early Cretaceous 121-99 million years ago,China,ceratopsian,1.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html
108,erlikosaurus,omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,small theropod,3.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
109,antarctosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Uruguay,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,von Huene (1929),wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html
110,segnosaurus,carnivorous,Late Cretaceous 97-88 million years ago,Mongolia,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
111,albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
112,silvisaurus,herbivorous,Early Cretaceous 121-112 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Eaton (1960),condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html
113,albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
114,apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,USA,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html
115,vulcanodon,herbivorous,Early Jurassic 205-202 million years ago,Zimbabwe,sauropod,6.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,Raath (1972),karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html
116,guanlong,carnivorous,Late Jurassic 159-154 million years ago,China,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
117,giganotosaurus,carnivorous,Early Cretaceous 112-90 million years ago,Argentina,large theropod,12.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
118,archaeornithomimus,carnivorous,Late Cretaceous 95-70 million years ago,Uzbekistan,small theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Russell (1972),asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html
119,hypsilophodon,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,euornithopod,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,Huxley (1869),foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
120,graciliceratops,herbivorous,Late Cretaceous 99-84 million years ago,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Sereno (2000),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
121,chungkingosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Zhou and Zhang (1983),jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html
122,carcharodontosaurus,carnivorous,Late Cretaceous 98-94 million years ago,North Africa,large theropod,15.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html
123,jobaria,herbivorous,Early Cretaceous 132-94 million years ago,Niger,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999),tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
124,mapusaurus,carnivorous,Late Cretaceous 99-94 million years ago,Argentina,large theropod,13.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
125,buitreraptor,carnivorous,Late Cretaceous 99-90 million years ago,Argentina,small theropod,1.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html
126,nedoceratops,herbivorous,Late Cretaceous 67-65 million years ago,USA,ceratopsian,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Lull (1905),hatcheri,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
127,guaibasaurus,herbivorous,Late Triassic 221-210 million years ago,Brazil,small theropod,1.8m,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
128,heyuannia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1981),yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
129,nomingia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,1.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
130,ornitholestes,carnivorous,Late Jurassic 150-144 million years ago,USA,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Osbourne (1933),hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
131,struthiosaurus,herbivorous,Late Cretaceous 83-75 million years ago,Spain,armoured dinosaur,2.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
132,corythosaurus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html
133,marshosaurus,carnivorous,Late Jurassic 154-142 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Madsen (1976),bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
134,deinonychus,carnivorous,Early Cretaceous 120-110 million years ago,USA,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrom (1969),antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html
135,piatnitzkysaurus,carnivorous,Late Jurassic 164-159 million years ago,Argentina,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
136,stenopelix,herbivorous,Early Cretaceous 127-121 million years ago,Germany,ceratopsian,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Meyer (1857),valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html
137,alectrosaurus,carnivorous,Late Cretaceous 90-70 million years ago,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
138,eustreptospondylus,carnivorous,Mid Jurassic 165 million years ago,United Kingdom,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Walker (1964),oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html
139,juravenator,carnivorous,Late Jurassic 154-151 million years ago,Germany,small theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Göhlich &amp; Chiappe (2006),starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
140,tylocephale,herbivorous,Late Cretaceous 75-72 million years ago,Mongolia,euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html
141,psittacosaurus,herbivorous,Early Cretaceous 120-100 million years ago,Russia,ceratopsian,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
142,rebbachisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Morocco,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Lavocat (1954),garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html
143,telmatosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Spain,euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
144,saurophaganax,carnivorous,Late Jurassic 154-142 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
145,aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Egypt,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
146,sarcosaurus,carnivorous,Early Jurassic 202-195 million years ago,United Kingdom,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Andrews (1921),woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html
147,rugops,carnivorous,Late Cretaceous 95 million years ago,Niger,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
148,dryosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
149,yuanmousaurus,herbivorous,Mid Jurassic 180-159 million years ago,China,sauropod,17.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Lü Li Ji Wang Zhang and Dong (2006),jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html
150,orodromeus,herbivorous,Late Cretaceous 74 million years ago,USA,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Horner and Weishampel (1988),makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
151,tsagantegia,herbivorous,Late Cretaceous 99-84 million years ago,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1993),longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html
152,sauropelta,herbivorous,Early Cretaceous 121-94 million years ago,USA,armoured dinosaur,6.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html
153,pachycephalosaurus,herbivorous,Late Cretaceous 76-65 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
154,sinovenator,carnivorous,Early Cretaceous 127-121 million years ago,China,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html
155,bambiraptor,carnivorous,Late Cretaceous 84-71 million years ago,USA,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html
156,masiakasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Madagascar,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Sampson Carrano &amp; Forster (2001),knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
157,ligabuesaurus,herbivorous,Early Cretaceous 121-99 million years ago,Argentina,sauropod,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte González Riga and Apesteguía (2006),leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
158,micropachycephalosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,ceratopsian,0.6m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Dong (1978),hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
159,lapparentosaurus,herbivorous,Mid Jurassic 169-164 million years ago,Madagascar,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Bonaparte (1986),madagascariensis,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
160,metriacanthosaurus,carnivorous,Late Jurassic 159-154 million years ago,United Kingdom,large theropod,8.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Walker (1964),parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
161,conchoraptor,carnivorous,Late Cretaceous 81-76 million years ago,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
162,einiosaurus,herbivorous,Late Cretaceous 74 million years ago,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
163,harpymimus,omnivorous,Early Cretaceous 121-99 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold and Perle (1984),okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
164,yimenosaurus,herbivorous,Early Jurassic 195-190 million years ago,China,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Bai Yang and Wang (1990),youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html
165,barosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,sauropod,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html
166,megalosaurus,carnivorous,Mid Jurassic 170-155 million years ago,United Kingdom,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Ritgen (1826),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
167,lufengosaurus,herbivorous,Early Jurassic 200-195 million years ago,China,sauropod,6.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Young (1941),huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
168,thescelosaurus,herbivorous,Late Cretaceous 76-67 million years ago,USA,euornithopod,3.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
169,lycorhinus,herbivorous,Late Triassic 205-195 million years ago,South Africa,euornithopod,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
170,pelicanimimus,carnivorous,Early Cretaceous 127-121 million years ago,Spain,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
171,edmontosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Canada,euornithopod,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
172,leaellynasaura,herbivorous,Early Cretaceous 115-110 million years ago,Australia,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
173,camptosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html
174,oviraptor,omnivorous,Late Cretaceous 85-75 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
175,yunnanosaurus,omnivorous,Early Jurassic 205-190 million years ago,China,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Young (1942),huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html
176,sinornithosaurus,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
177,shantungosaurus,herbivorous,Late Cretaceous 78-74 million years ago,China,euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
178,euhelopus,herbivorous,Late Jurassic 154-142 million years ago,China,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Wiman (1929),zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
